 Zeit,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
Bagel Cream Cheese here,0,0,1,1,3,13,13,12,6,7,4,1,3,0,0,0,0
Bagel Cream Cheese to go,0,3,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0
Bagel Fitness here,0,0,3,4,6,13,17,20,18,11,7,4,3,2,0,0,0
Bagel Fitness to go,0,1,5,0,4,4,10,3,1,4,5,3,2,1,0,0,0
Bagel Green Garden here,0,0,0,1,1,0,12,6,7,0,3,0,0,2,0,0,0
Bagel Green Garden to go,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
Bagel India here,0,0,0,0,1,9,13,10,4,5,3,5,2,1,0,0,0
Bagel India to go,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0
Bagel Mexico here,0,0,0,1,3,11,22,22,27,22,11,10,5,2,0,0,0
Bagel Mexico to go,0,0,0,0,0,0,2,1,1,0,3,1,2,0,0,0,0
Bagel Morning Star here,0,0,4,3,8,7,3,0,0,0,0,0,0,0,0,0,0
Bagel Morning Star to go,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Peanut Butter here,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Bagel plain here,0,1,0,4,3,4,2,0,2,11,2,2,0,0,0,0,0
Bagel plain to go,0,3,9,5,7,2,3,1,0,1,4,1,1,0,0,0,0
Bagel Roma oder Florenz here,0,0,4,8,21,32,47,50,35,18,15,13,11,3,0,0,0
Bagel Roma oder Florenz to go,0,2,7,2,3,2,8,5,5,7,3,2,3,6,0,0,0
Bagel Stulle Deluxe here,0,0,2,4,4,6,16,15,7,6,5,7,3,6,0,0,0
Bagel Stulle Deluxe to go,0,0,1,2,6,6,3,2,1,2,3,2,2,0,0,0,0
Brezel Butter here,0,1,0,1,6,1,3,4,2,0,1,1,1,0,0,0,0
Brezel Butter to go,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
Brezel plain here,0,1,1,5,7,9,10,4,3,9,8,3,3,0,0,0,0
Brezel plain to go,0,1,6,3,6,1,5,2,0,1,3,2,0,1,0,0,0
Cafe Creme groﬂ  here,0,2,2,5,7,2,11,15,9,14,13,10,5,2,0,0,0
Cafe Creme groﬂ  to go,0,5,6,8,6,8,10,8,8,2,10,9,1,3,0,0,0
Cafe Creme klein  here,0,23,13,11,11,19,34,27,26,17,41,38,14,22,0,0,0
Cafe Creme klein  to go,0,7,31,15,25,10,6,19,12,9,19,14,3,7,0,0,0
Caffe Latte mit Sirup here,0,0,0,0,2,3,7,7,4,6,9,6,3,0,0,0,0
Caffe Latte mit Sirup to go,0,0,2,0,1,4,7,0,3,4,5,6,1,0,0,0,0
Caffe Latte ohne Sirup here,0,3,21,35,33,38,46,47,56,42,32,31,20,13,0,0,0
Caffe Latte ohne Sirup to go,0,18,17,17,21,18,16,22,14,25,22,16,10,9,0,0,0
Cappuccino groﬂ  here,0,1,19,18,17,21,28,37,17,25,23,27,10,7,0,0,0
Cappuccino groﬂ  to go,0,10,18,17,5,11,10,11,7,13,20,9,7,2,0,0,0
Cappuccino klein  here,0,1,6,17,26,39,90,61,47,49,41,36,15,18,0,0,0
Cappuccino klein  to go,0,1,3,6,5,7,5,13,6,15,13,10,8,5,0,0,0
Chai Tea groﬂ Chai Banana here,0,0,0,0,0,2,0,2,1,1,2,2,1,1,0,0,0
Chai Tea groﬂ Chai Banana to go,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0
Chai Tea groﬂ Chai Tea Latte here,0,1,2,3,6,10,7,10,10,12,14,11,7,3,0,0,0
Chai Tea groﬂ Chai Tea Latte to go,0,4,0,0,2,3,3,2,3,6,9,3,3,4,1,0,0
Chai Tea klein Chai Banana here,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Chai Tea klein Chai Tea Latte here,0,0,0,0,6,5,7,12,7,3,10,4,9,3,0,0,0
Chai Tea klein Chai Tea Latte to go,0,1,0,0,2,0,2,4,1,2,3,2,3,1,0,0,0
Chocolate groﬂ Bio-Kakao here,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Chocolate groﬂ Bio-Kakao to go,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chocolate groﬂ black here,0,0,0,2,2,4,3,4,4,4,3,4,6,1,0,0,0
Chocolate groﬂ black to go,0,0,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0
Chocolate groﬂ white here,0,0,0,0,1,0,4,2,2,2,4,1,0,1,0,0,0
Chocolate groﬂ white to go,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,0,0
Chocolate klein Bio-Kakao here,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0
