 Datum;01.08.11;02.08.11;03.08.11;04.08.11;05.08.11;06.08.11;07.08.11;08.08.11;09.08.11;10.08.11;11.08.11;12.08.11;13.08.11;14.08.11;15.08.11;16.08.11;17.08.11;18.08.11;19.08.11;20.08.11;21.08.11;22.08.11;23.08.11;24.08.11;25.08.11;26.08.11;27.08.11;28.08.11;29.08.11;30.08.11;31.08.11
Bagel Cream Cheese here;1;2;1;2;4;2;0;1;2;2;2;6;3;0;0;6;2;2;3;0;2;1;1;3;3;2;4;1;0;4;2
Bagel Cream Cheese to go;1;0;1;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Bagel Fitness here;4;4;5;4;7;7;3;2;1;8;5;1;5;2;1;8;5;5;3;1;2;3;2;4;0;2;4;0;5;3;2
Bagel Fitness to go;1;0;4;4;0;1;2;2;1;2;0;0;0;2;1;0;2;0;2;1;1;2;0;2;2;3;0;0;3;3;2
Bagel Green Garden here;0;2;0;1;1;0;1;0;3;0;1;0;1;1;1;5;2;2;1;0;0;3;1;0;1;0;2;0;1;0;2
Bagel Green Garden to go;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel India here;1;3;2;1;2;3;2;2;0;2;5;0;4;2;2;4;0;3;1;0;0;1;1;0;2;3;1;2;1;1;2
Bagel India to go;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0
Bagel Mexico here;3;3;2;5;3;8;3;2;3;6;9;2;5;3;4;1;3;6;2;6;4;4;3;4;0;4;11;8;8;7;4
Bagel Mexico to go;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0
Bagel Morning Star here;0;1;0;0;1;1;0;1;1;1;2;1;3;0;1;1;1;2;1;1;0;1;0;1;0;0;2;0;1;1;0
Bagel Morning Star to go;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1
Bagel Peanut Butter here;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Bagel plain here;1;0;1;0;1;3;0;0;0;1;0;2;1;3;1;0;0;1;2;0;0;0;0;3;0;0;10;0;1;0;0
Bagel plain to go;0;0;2;1;0;0;0;0;0;1;1;5;1;1;0;0;4;0;0;2;0;2;5;2;1;3;0;0;0;0;6
Bagel Roma oder Florenz here;10;11;9;9;5;6;3;6;12;13;12;10;15;6;7;10;8;6;7;9;3;10;6;6;5;10;12;7;9;6;9
Bagel Roma oder Florenz to go;1;3;3;3;3;1;1;3;1;3;1;1;2;1;2;4;2;2;2;0;0;1;2;3;6;1;0;0;1;1;1
Bagel Stulle Deluxe here;2;3;5;6;3;5;1;1;3;3;3;4;2;2;3;4;2;3;4;2;1;3;2;3;1;1;2;2;2;0;3
Bagel Stulle Deluxe to go;0;1;1;0;1;0;0;4;1;1;1;2;0;2;1;1;2;0;1;0;1;1;0;1;1;2;0;0;0;4;1
Brezel Butter here;0;1;2;2;2;2;1;0;1;0;1;3;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0
Brezel Butter to go;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Brezel plain here;4;2;1;0;4;3;4;3;3;5;1;1;2;4;2;1;0;0;2;2;3;0;0;3;1;1;5;1;3;1;1
Brezel plain to go;3;2;0;2;1;2;1;0;1;1;1;1;0;0;0;1;3;2;0;1;0;0;3;1;0;2;0;0;0;0;3
Cafe Creme groﬂ  here;3;1;7;2;4;2;1;2;5;3;6;4;2;4;6;4;2;3;5;3;2;4;2;0;3;2;7;2;1;4;1
Cafe Creme groﬂ  to go;3;0;0;1;3;1;3;8;8;4;3;4;8;1;1;0;3;0;0;1;3;2;2;3;2;4;3;1;4;7;1
Cafe Creme klein  here;10;8;15;14;15;9;8;16;7;13;11;16;8;6;7;8;9;16;10;12;2;7;6;5;4;12;9;6;6;10;11
Cafe Creme klein  to go;8;9;8;5;6;5;3;10;15;17;11;6;7;0;11;6;5;2;4;2;2;4;1;1;5;3;4;5;2;5;5
Caffe Latte mit Sirup here;1;0;4;2;1;2;1;3;5;1;2;2;3;3;2;2;0;1;0;0;1;1;1;0;0;0;2;1;2;1;3
Caffe Latte mit Sirup to go;2;0;1;0;0;0;4;2;0;4;0;3;1;1;2;1;1;0;1;1;0;0;1;0;0;2;1;1;1;3;0
Caffe Latte ohne Sirup here;18;10;16;14;11;15;11;29;17;11;15;15;17;7;16;13;12;18;9;10;6;8;4;14;15;8;19;14;15;17;13
Caffe Latte ohne Sirup to go;3;7;11;3;7;3;3;13;16;10;8;10;6;4;8;8;8;5;7;5;5;4;3;4;7;3;10;10;7;19;8
Cappuccino groﬂ  here;11;6;7;10;11;11;5;11;11;13;10;8;14;4;8;6;7;6;7;8;1;7;5;4;6;6;12;10;16;3;6
Cappuccino groﬂ  to go;7;8;2;3;3;2;6;5;7;5;6;6;5;3;2;9;5;4;2;1;1;6;2;4;5;2;7;3;7;5;7
Cappuccino klein  here;13;14;17;17;35;17;10;19;21;25;25;20;19;7;16;15;7;14;5;3;4;6;5;8;15;14;18;5;18;15;19
Cappuccino klein  to go;4;2;0;3;4;3;4;3;6;10;6;1;4;2;5;4;0;4;2;2;0;3;3;1;4;0;1;3;4;2;7
Chai Tea groﬂ Chai Banana here;0;1;0;0;0;1;1;1;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0
Chai Tea groﬂ Chai Banana to go;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
Chai Tea groﬂ Chai Tea Latte here;4;1;1;2;2;3;1;3;7;2;5;9;2;1;3;3;0;1;4;3;3;0;2;0;4;2;10;2;5;6;5
Chai Tea groﬂ Chai Tea Latte to go;1;0;2;2;2;1;5;1;1;3;2;4;2;0;1;0;0;0;2;1;0;0;0;0;3;0;1;5;0;2;2
Chai Tea klein Chai Banana here;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chai Tea klein Chai Tea Latte here;2;0;2;1;2;2;1;6;4;1;2;0;4;1;1;2;0;1;2;2;0;1;1;5;4;2;6;3;2;5;1
Chai Tea klein Chai Tea Latte to go;0;0;0;0;2;0;3;1;1;3;0;1;0;0;1;0;1;2;0;1;1;0;0;0;0;1;0;2;0;1;0
Chocolate groﬂ Bio-Kakao here;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Chocolate groﬂ Bio-Kakao to go;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chocolate groﬂ black here;0;1;0;0;3;0;0;3;5;1;0;2;2;0;0;1;0;0;1;1;2;2;0;0;1;0;5;0;0;3;4
Chocolate groﬂ black to go;0;0;0;2;0;0;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
Chocolate groﬂ white here;0;0;0;0;0;1;1;1;2;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;4;2;0;0;2
Chocolate groﬂ white to go;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1
Chocolate klein Bio-Kakao here;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
Chocolate klein Bio-Kakao to go;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chocolate klein black here;5;0;2;2;3;3;6;5;2;4;3;2;3;4;2;1;1;0;4;0;3;0;0;1;2;0;6;5;3;2;0
Chocolate klein black to go;0;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;2;0;1;0;0;0;0;0;1;0;2;1;0
Chocolate klein white here;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;5;2;0;2;1;0
Chocolate klein white to go;0;1;0;1;0;2;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Cookie here;5;3;5;3;6;6;4;6;5;6;8;2;6;5;7;6;0;5;2;2;5;2;3;6;6;4;7;2;2;1;6
Cookie to go;1;0;4;0;3;1;1;0;7;4;5;6;2;2;5;4;4;2;1;3;0;2;2;5;5;0;0;6;1;6;2
Cool Latte Iced Caffe here;5;0;1;1;11;5;1;1;3;1;5;0;7;4;3;3;6;3;4;5;6;2;4;8;3;5;2;0;2;2;0
Cool Latte Iced Caffe to go;5;5;4;0;0;3;2;2;1;3;1;3;5;2;1;3;4;6;0;5;5;5;4;3;4;7;1;1;1;2;2
Cool Latte Iced Espresso here;2;3;3;1;4;1;0;1;0;2;0;1;2;1;1;1;3;3;2;2;0;4;0;4;0;2;0;0;0;2;1
Cool Latte Iced Espresso to go;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;3;0;2;2;0;1;5;1;1;0;0;1;3;1
Cool Latte Iced Macchiato here;13;8;7;9;4;20;2;5;1;9;8;7;5;1;4;9;9;9;13;6;13;15;2;12;8;11;2;5;3;5;5
Cool Latte Iced Macchiato to go;9;3;2;9;2;3;4;1;0;5;1;0;6;1;13;1;5;4;12;1;4;5;4;5;6;4;0;5;1;2;3
Donut here;10;1;6;3;3;9;12;11;7;6;6;7;9;3;7;4;5;2;4;1;4;1;1;8;6;3;15;3;3;4;12
Donut to go;5;2;3;2;4;1;6;10;6;4;3;5;4;3;3;0;0;1;3;0;3;8;3;11;11;2;1;2;6;6;2