 Datum;01.06.11;02.06.11;03.06.11;04.06.11;05.06.11;06.06.11;07.06.11;08.06.11;09.06.11;10.06.11;11.06.11;12.06.11;13.06.11;14.06.11;15.06.11;16.06.11;17.06.11;18.06.11;19.06.11;20.06.11;21.06.11;22.06.11;23.06.11;24.06.11;25.06.11;26.06.11;27.06.11;28.06.11;29.06.11;30.06.11;31.06.11
Bagel Cream Cheese here;1;2;1;7;2;2;0;1;0;2;2;3;3;1;2;1;0;4;6;0;2;1;1;2;1;2;2;1;2;3;0
Bagel Cream Cheese to go;1;0;2;0;0;1;2;2;1;1;0;0;1;0;2;0;0;0;0;2;0;0;2;1;0;0;1;0;0;1;0
Bagel Fitness here;5;3;2;5;1;2;5;4;2;7;5;1;5;2;3;3;3;6;3;2;4;3;1;3;5;2;0;1;3;6;0
Bagel Fitness to go;2;1;1;0;1;0;6;0;2;0;2;2;1;7;4;0;1;0;1;0;0;1;0;2;1;0;2;4;4;0;0
Bagel Green Garden here;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;2;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0
Bagel Green Garden to go;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel India here;0;0;4;1;1;1;0;0;0;0;2;1;1;1;0;2;0;1;1;3;1;0;0;0;1;0;2;0;1;2;0
Bagel India to go;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
Bagel Mexico here;1;1;6;6;1;4;0;3;0;3;7;2;2;1;1;5;2;4;3;5;2;1;2;3;5;2;2;1;2;1;0
Bagel Mexico to go;0;0;1;1;0;2;2;2;1;1;0;2;0;0;1;0;1;0;0;0;0;0;0;2;2;0;1;0;0;1;0
Bagel Morning Star here;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;3;0;0;0;1;0;0;0;1;0;0;1;0;0
Bagel Peanut Butter here;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0
Bagel Peanut Butter to go;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel plain here;1;0;2;3;0;0;1;0;0;0;1;1;0;1;0;2;1;5;0;0;0;2;0;1;0;0;1;1;0;2;0
Bagel plain to go;0;3;2;1;1;5;2;3;1;1;1;1;0;3;5;2;1;0;2;7;2;0;6;1;0;2;0;1;0;0;0
Bagel Roma oder Florenz here;8;6;8;7;2;13;6;7;9;7;11;4;4;6;9;10;6;9;7;1;7;10;4;12;10;2;4;6;13;10;0
Bagel Roma oder Florenz to go;2;1;2;4;2;4;5;2;1;2;0;0;0;2;2;0;0;2;0;1;4;2;0;4;2;1;3;3;4;2;0
Bagel Stulle Deluxe here;3;2;2;2;1;1;2;2;1;2;3;0;2;0;2;4;2;5;1;2;2;1;2;2;2;0;1;0;4;1;0
Bagel Stulle Deluxe to go;3;1;1;1;0;2;0;0;1;0;0;1;0;2;1;0;0;1;0;1;1;0;1;2;1;0;2;1;0;0;0
Brezel Butter here;0;1;2;0;1;1;1;4;0;0;1;1;0;2;0;0;1;1;2;1;0;0;0;0;1;0;0;0;0;2;0
Brezel Butter to go;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Brezel plain here;1;0;2;4;1;3;3;2;0;5;1;3;3;2;2;4;1;2;1;2;3;5;2;1;3;0;2;0;4;2;0
Brezel plain to go;1;3;1;1;1;1;0;0;3;3;0;0;1;0;0;0;1;0;1;0;3;0;2;0;1;0;1;0;0;0;0
Brownie here;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cafe Creme groﬂ  here;4;4;1;1;3;6;2;6;2;2;2;2;3;3;7;5;1;10;7;7;4;5;2;2;5;4;2;2;3;1;0
Cafe Creme groﬂ  to go;3;5;1;1;2;0;2;2;1;1;0;3;3;3;3;2;4;1;4;4;3;5;5;5;2;3;1;1;3;2;0
Cafe Creme klein  here;9;7;9;8;7;10;7;11;12;7;19;4;0;13;9;13;14;19;11;13;7;17;6;6;10;3;5;7;7;20;0
Cafe Creme klein  to go;2;4;7;3;0;4;8;2;4;5;3;3;2;7;4;1;3;2;0;5;5;2;5;4;3;2;3;5;5;7;0
Caffe Latte mit Sirup here;1;2;5;0;3;2;0;5;5;3;4;1;2;4;3;1;0;6;1;5;0;1;2;4;2;0;0;0;1;7;0
