 Zeit,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
Caffe Latte ohne Sirup here,0,0,10,18,28,33,48,48,31,38,38,32,16,6,0,0,0
Caffe Latte ohne Sirup to go,0,7,26,22,16,12,14,17,33,32,15,15,9,2,0,0,0
Cappuccino groﬂ  here,0,2,12,14,18,18,30,27,32,28,44,24,14,3,1,0,0
Cappuccino groﬂ  to go,0,5,18,24,16,14,15,16,10,15,16,9,5,3,2,0,0
Cappuccino klein  here,0,0,5,10,9,25,73,68,50,33,44,35,28,5,1,0,0
Cappuccino klein  to go,0,1,3,11,4,3,5,16,8,11,24,13,6,5,0,0,0
Chai Tea groﬂ Chai Banana here,0,0,0,0,2,4,0,1,2,5,3,4,7,1,0,0,0
Chai Tea groﬂ Chai Banana to go,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
Chai Tea groﬂ Chai Tea Latte here,0,0,1,4,4,12,6,10,18,27,19,12,8,6,0,0,0
Chai Tea groﬂ Chai Tea Latte to go,0,1,1,1,1,3,1,1,5,2,11,4,3,3,0,0,0
Chai Tea klein Chai Banana here,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chai Tea klein Chai Tea Latte here,0,1,0,2,0,7,12,4,7,6,13,10,8,3,0,0,0
Chai Tea klein Chai Tea Latte to go,0,1,1,1,0,0,3,3,2,5,1,1,3,2,0,0,0
Chocolate groﬂ Bio-Kakao here,0,0,0,2,1,0,0,0,0,1,0,1,0,3,0,0,0
Chocolate groﬂ Bio-Kakao to go,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Chocolate groﬂ black bring in,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chocolate groﬂ black here,0,0,2,1,2,5,4,3,10,4,9,1,5,1,0,0,0
Chocolate groﬂ black to go,0,0,3,0,0,1,0,1,3,1,3,0,1,1,0,0,0
Chocolate groﬂ white here,0,0,0,2,0,1,1,1,1,6,3,4,1,0,0,0,0
Chocolate groﬂ white to go,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
Chocolate klein Bio-Kakao here,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0
Chocolate klein Bio-Kakao to go,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate klein black here,0,0,0,1,1,3,14,8,11,4,12,6,6,2,2,0,0
Chocolate klein black to go,0,0,0,1,0,1,0,0,4,2,3,1,4,2,0,0,0
Chocolate klein mit Sirup to go,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chocolate klein white here,0,0,0,0,0,1,1,1,3,2,2,4,1,2,0,0,0
Chocolate klein white to go,0,0,0,0,0,1,0,0,2,0,1,1,0,3,0,0,0
Cookie here,0,0,2,3,10,6,14,15,32,16,30,22,15,2,0,0,0
Cookie to go,0,0,2,7,6,9,8,15,13,10,9,13,4,1,0,0,0
Cool Latte Iced Caffe here,0,0,0,2,4,3,6,12,16,14,11,5,5,4,0,0,0
Cool Latte Iced Caffe to go,0,0,1,0,2,3,8,15,7,12,21,8,4,7,0,0,0
Cool Latte Iced Espresso here,0,0,0,2,0,0,4,3,4,5,2,3,0,1,0,0,0
Cool Latte Iced Espresso to go,0,0,0,0,0,0,0,2,2,0,4,2,1,2,0,0,0
Cool Latte Iced Macchiato here,0,0,1,1,0,1,11,25,33,25,33,18,9,3,0,0,0
Cool Latte Iced Macchiato to go,0,0,2,4,3,3,9,14,19,15,27,15,6,4,0,0,0
Donut here,0,1,1,3,7,15,13,23,20,15,34,24,13,3,1,0,0
Donut to go,0,0,1,6,2,15,11,7,13,13,23,9,7,10,0,0,0
Eis here,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0
Eis to go,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Eiskaffee here,0,0,0,0,3,5,17,23,49,44,52,36,18,4,1,0,0
Eiskaffee to go,0,0,0,0,1,3,2,12,7,18,14,16,8,3,0,0,0
Eisschokolade here,0,0,0,3,1,4,10,17,22,28,37,23,16,6,0,0,0
Eisschokolade to go,0,0,0,0,5,1,0,8,11,5,11,5,4,2,0,0,0
Eistee here,0,0,1,2,0,3,9,8,14,17,16,8,5,2,0,0,0
Eistee to go,0,0,0,0,0,2,0,0,1,9,7,4,2,1,0,0,0
Espresso groﬂ Barista here,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0
Espresso groﬂ Barista to go,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Espresso groﬂ Cuba here,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Espresso groﬂ Cuba to go,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Espresso groﬂ Macchiato here,0,0,0,1,0,1,2,3,1,0,2,1,0,0,0,0,0
Espresso groﬂ Macchiato to go,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0
Espresso groﬂ Originale here,0,0,1,3,2,2,9,13,8,4,11,6,2,2,0,0,0
Espresso groﬂ Originale to go,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0
Espresso groﬂ Unplugged here,0,0,0,0,0,1,0,1,1,3,2,0,1,3,1,0,0
Espresso groﬂ Unplugged to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Espresso klein Barista here,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0,0
Espresso klein Cuba here,0,0,0,0,0,0,5,7,2,4,2,2,1,0,0,0,0
Espresso klein Lungo here,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Espresso klein Macchiato here,0,0,0,2,3,0,3,13,6,5,1,7,3,1,0,0,0
Espresso klein Macchiato to go,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Espresso klein Orange here,0,0,0,0,0,0,2,1,1,0,1,0,3,2,0,0,0
Espresso klein Orange to go,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Espresso klein Originale here,0,0,0,3,2,13,12,29,17,8,25,7,7,9,1,0,0
Espresso klein Originale to go,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0
Espresso klein Unplugged here,0,0,0,1,0,3,1,2,2,4,2,2,1,0,0,0,0
Espresso klein Unplugged to go,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Espresso Latte here,0,0,0,1,2,21,35,15,6,11,7,7,5,3,0,0,0
Espresso Latte to go,0,0,3,2,2,3,4,6,4,5,4,3,2,4,0,0,0
Frappe black here,0,1,0,0,2,4,4,11,14,18,11,7,2,3,0,0,0
Frappe black to go,0,0,0,1,1,2,3,12,3,15,15,7,5,5,0,0,0
Frappe white here,0,0,0,1,0,4,8,6,11,6,11,8,4,0,0,0,0
Frappe white to go,0,0,0,2,1,2,3,8,6,8,14,13,6,2,0,0,0
Fruchtsaft frisch groﬂ  here,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0
Fruchtsaft frisch groﬂ  to go,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Fruchtsaft frisch klein  here,0,0,0,0,0,4,0,3,1,3,1,1,0,1,0,0,0
Fruchtsaft frisch klein  to go,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Iced Chai Latte here,0,0,1,1,1,2,7,7,10,16,10,9,10,2,1,0,0
Iced Chai Latte to go,0,0,0,0,0,2,3,4,6,17,6,4,2,1,0,0,0
Iced Espresso here,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0
Iced Espresso to go,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Kaffee here,0,0,2,5,7,14,43,31,24,32,39,22,5,2,1,0,0
Kaffee to go,0,0,0,2,4,1,4,1,7,8,8,7,2,2,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Barista to go,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Originale to go,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Unplugged here,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Unplugged to go,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Barista to go,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Coffeinfrei to go,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Cuba to go,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Originale here,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Originale to go,0,0,1,0,0,2,1,0,1,0,0,1,1,0,0,0,0
Kaffeeverkauf Espressobohnen klein Unplugged here,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Kaffeeverkauf Espressobohnen klein Unplugged to go,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Kaffeeverkauf Goldline Blue Mountain here,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Goldline Galapagos to go,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Kenya Arabica AA to go,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kaffeeverkauf sortenrein groﬂ Mexiko Organico to go,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kaffeeverkauf sortenrein klein ƒthiopischer Mocca here,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein ƒthiopischer Mocca to go,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Costa Rica here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein India Malabar to go,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Maragogype to go,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Mexiko Organico here,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ ƒthiopischer Mocca here,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ ƒthiopischer Mocca to go,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Kaffegetr‰nk groﬂ Costa Rica to go,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kaffegetr‰nk groﬂ Kenya Arabica AA here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kaffegetr‰nk groﬂ Mexiko Organico here,0,0,0,0,4,0,0,0,0,5,1,4,0,0,0,0,0
Kaffegetr‰nk groﬂ Peru here,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ Wiener Melange here,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Kaffegetr‰nk klein Kenya Arabica AA here,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kaffegetr‰nk klein Maragogype to go,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kaffegetr‰nk klein Mexiko Organico here,0,0,0,0,0,0,0,0,0,0,1,2,4,3,0,0,0
Kaffegetr‰nk klein Wiener Melange here,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Kaffespezialit‰t Galapagos to go,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kaffeverkauf Hausmischung groﬂ Cafe Creme to go,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0
Kaffeverkauf Hausmischung klein Cafe Creme to go,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
Kaffezusatz Espresso Shot here,0,0,0,2,2,4,0,2,3,3,1,1,0,0,0,0,0
Kaffezusatz Espresso Shot to go,0,0,1,2,0,4,2,4,2,6,0,3,0,0,0,0,0
Kaffezusatz Flavour Shot here,0,0,0,0,0,2,10,3,10,9,13,12,4,0,0,0,0
Kaffezusatz Flavour Shot to go,0,0,0,0,0,2,3,6,7,7,6,4,3,4,1,0,0
Kaffezusatz Lac.-frei here,0,0,0,6,4,5,16,10,17,13,9,13,9,3,0,0,0
Kaffezusatz Lac.-frei to go,0,0,2,4,3,2,2,5,6,9,17,5,3,4,0,0,0
Kaffezusatz Sahne here,0,0,0,1,1,3,2,1,4,4,0,2,2,0,0,0,0
Kaffezusatz Sahne to go,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kaffezusatz Soja here,0,0,0,3,5,12,8,7,17,16,10,12,8,3,0,0,0
Kaffezusatz Soja to go,0,0,2,3,6,4,3,5,2,6,4,5,1,2,0,0,0
Kapuziner groﬂ  here,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0
Kapuziner klein  here,0,0,0,0,3,2,2,1,0,0,5,1,0,2,0,0,0
Kapuziner klein  to go,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Kuchen here,0,0,0,0,3,4,12,21,27,31,38,30,6,3,0,0,0
Kuchen to go,0,0,0,1,0,0,1,6,5,3,5,7,1,1,0,0,0
Latte Macchiato mit Sirup here,0,1,3,10,9,28,21,33,35,45,36,38,28,6,0,0,0
Latte Macchiato mit Sirup to go,0,10,12,6,6,15,16,20,11,13,21,13,9,6,0,0,0
Latte Macchiato ohne Sirup here,0,1,8,18,40,52,100,91,81,87,101,75,65,20,0,0,0
Latte Macchiato ohne Sirup to go,0,5,29,28,20,18,32,32,21,41,56,41,15,5,1,0,0
Milk groﬂ  here,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0
Milk klein  here,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0
Milk klein  to go,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mocca groﬂ black here,0,0,1,1,1,2,4,8,7,9,1,8,4,0,0,0,0
Mocca groﬂ black to go,0,0,2,2,0,4,1,4,7,3,3,2,2,3,0,0,0
Mocca groﬂ white here,0,0,1,1,3,4,2,4,8,11,12,5,5,2,0,0,0
Mocca groﬂ white to go,0,0,1,1,3,5,1,6,1,13,6,5,3,0,0,0,0
Mocca klein black here,0,0,1,2,0,2,11,3,5,5,7,4,7,2,0,0,0
Mocca klein black to go,0,2,0,0,0,0,1,2,1,1,4,0,0,4,0,0,0
Mocca klein white here,0,0,1,3,3,4,0,3,3,5,9,4,1,0,0,0,0
Mocca klein white to go,0,0,0,0,0,0,3,2,3,5,2,1,0,0,0,0,0
MoccaSin here,0,0,0,1,0,1,1,3,1,3,4,5,1,1,0,0,0
MoccaSin to go,0,0,0,0,0,1,1,0,2,1,2,0,0,0,0,0,0
Muffin here,0,5,20,17,18,33,55,55,79,110,130,72,43,18,0,0,0
Muffin to go,0,11,35,20,7,26,11,20,45,45,51,48,29,8,1,0,0
M¸sli here,0,0,1,2,1,3,1,1,0,1,1,0,0,0,0,0,0
M¸sli to go,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nebenprodukte Just-T to go,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nebenprodukte Sirup groﬂ to go,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Preis here,0,0,0,0,0,1,7,3,5,3,0,1,2,0,0,0,0
Preis to go,0,0,3,3,5,4,1,2,4,4,3,5,1,3,0,0,0
Shake here,0,0,0,1,2,9,23,21,38,37,40,22,19,10,0,0,0
Shake to go,0,1,1,2,0,3,13,2,17,15,22,23,8,4,0,0,0
Smoothie plain here,0,0,0,4,6,14,34,34,46,58,74,57,29,4,0,0,0
Smoothie plain to go,0,0,0,1,5,11,30,36,42,61,63,46,31,28,2,0,0
Softdrink Bionade here,0,0,0,1,2,4,7,11,5,12,17,12,7,2,0,0,0
Softdrink Bionade to go,0,0,0,0,0,0,1,3,1,2,4,0,1,0,0,0,0
Softdrink Bottle AFG here,0,0,3,0,8,5,15,13,21,13,30,9,9,2,0,0,0
Softdrink Bottle AFG to go,0,0,2,1,2,3,6,6,3,10,7,4,4,1,0,0,0
Softdrink Wasser here,0,0,1,0,3,6,6,11,19,18,16,12,3,3,0,0,0
Softdrink Wasser to go,0,0,1,1,0,4,3,0,5,8,7,4,2,2,1,0,0
Special Latte Chocolate Latte here,0,0,0,1,0,0,1,0,4,1,0,0,1,0,0,0,0
Special Latte Latte Caramel bring in,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Special Latte Latte Caramel here,0,4,5,9,2,15,12,10,25,29,28,27,8,4,0,0,0
Special Latte Latte Caramel to go,0,0,0,1,0,3,4,0,4,9,9,6,6,6,0,0,0
Special Latte Tiramisu Latte here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tea here,0,1,0,1,1,3,9,6,12,9,13,9,10,3,0,0,0
Tea to go,0,0,0,0,0,2,1,0,4,3,1,5,2,1,0,0,0
