 Zeit;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
Chocolate klein black here;0;0;4;4;6;4;20;10;5;7;19;4;9;2;0;0;0
Chocolate klein black to go;0;0;1;2;3;1;3;1;3;2;8;3;1;0;0;0;0
Chocolate klein white here;0;0;0;0;1;4;2;1;2;5;5;3;5;1;0;0;0
Chocolate klein white to go;0;0;1;0;0;0;0;2;1;6;1;1;1;1;0;0;0
Cookie here;0;2;4;6;10;4;16;16;16;23;23;16;15;5;0;0;0
Cookie to go;0;0;7;6;9;6;30;15;10;9;12;12;11;7;0;0;0
Cool Latte Iced Caffe here;0;0;0;0;0;0;6;12;15;14;10;2;3;1;0;0;0
Cool Latte Iced Caffe to go;0;0;0;0;1;1;5;6;10;21;11;8;6;1;0;0;0
Cool Latte Iced Espresso here;0;0;1;0;2;0;0;1;3;9;5;3;0;1;0;0;0
Cool Latte Iced Espresso to go;0;0;0;1;0;0;1;1;4;3;6;2;0;0;0;0;0
Cool Latte Iced Macchiato here;0;0;0;1;0;4;5;18;24;55;31;27;3;4;0;0;0
Cool Latte Iced Macchiato to go;0;0;0;0;1;3;2;12;20;24;25;21;7;4;0;0;0
Donut here;0;0;1;5;12;35;13;13;19;26;20;27;14;6;0;0;0
Donut to go;0;0;1;2;10;8;10;8;5;9;11;10;6;5;0;0;0