 Datum;01.07.11;02.07.11;03.07.11;04.07.11;05.07.11;06.07.11;07.07.11;08.07.11;09.07.11;10.07.11;11.07.11;12.07.11;13.07.11;14.07.11;15.07.11;16.07.11;17.07.11;18.07.11;19.07.11;20.07.11;21.07.11;22.07.11;23.07.11;24.07.11;25.07.11;26.07.11;27.07.11;28.07.11;29.07.11;30.07.11;31.07.11
Bagel Cream Cheese here;3;3;1;0;2;0;2;2;3;0;1;0;1;2;5;2;1;0;3;1;2;1;4;2;1;5;2;4;5;4;1
Bagel Cream Cheese to go;3;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;3;1;0;1;0;2;0
Bagel Fitness here;10;2;1;5;2;2;4;4;3;2;4;5;9;5;3;8;4;2;5;3;6;4;5;2;5;2;2;4;2;4;1
Bagel Fitness to go;0;0;1;2;1;1;0;3;2;1;0;2;0;2;1;0;0;2;2;1;2;1;2;0;1;2;2;0;2;1;0
Bagel Green Garden here;1;0;0;1;0;0;0;0;1;0;1;2;0;1;0;1;0;2;4;1;1;0;2;0;1;1;4;1;2;1;0
Bagel Green Garden to go;0;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0
Bagel India here;3;3;0;5;3;5;4;1;4;2;4;0;4;1;3;0;0;4;3;5;1;2;5;1;1;2;2;2;4;6;0
Bagel India to go;1;1;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0
Bagel Mexico here;2;4;1;0;3;0;0;2;5;5;3;4;4;4;5;4;4;7;4;3;5;2;4;4;2;6;3;6;1;4;7
Bagel Mexico to go;0;0;1;0;0;0;0;1;0;0;0;1;2;1;0;2;0;0;3;0;1;0;1;0;1;0;0;0;0;0;1
Bagel Morning Star here;0;3;0;4;0;0;0;0;3;1;0;1;2;0;1;1;1;0;1;2;0;1;3;1;0;1;1;0;0;0;2
Bagel Peanut Butter here;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Bagel Peanut Butter to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel plain here;2;0;0;0;0;0;2;3;1;0;5;2;2;2;2;1;1;1;0;2;5;0;3;2;4;0;2;0;0;0;0
Bagel plain to go;2;0;0;1;3;2;2;2;0;1;3;1;2;0;3;0;0;4;1;0;2;1;0;1;1;2;1;1;3;0;3
Bagel Roma oder Florenz here;19;11;8;8;8;13;11;6;13;4;6;13;6;10;8;9;3;9;8;7;7;9;7;5;8;10;14;16;13;15;3
Bagel Roma oder Florenz to go;1;2;2;1;6;1;0;3;3;1;2;6;3;4;1;3;2;1;4;1;3;3;3;0;7;6;4;1;4;1;1
Bagel Stulle Deluxe here;3;3;2;6;2;1;3;3;2;1;2;4;5;2;4;2;1;5;3;2;2;2;1;1;2;3;1;2;6;4;1
Bagel Stulle Deluxe to go;0;1;1;0;0;0;0;2;2;2;0;0;3;2;0;3;1;1;0;0;0;0;1;1;0;1;2;1;0;2;0
Brezel Butter here;1;1;0;0;0;0;1;0;0;1;0;0;0;0;2;2;0;0;0;0;1;0;2;0;0;1;2;0;1;0;0
Brezel Butter to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Brezel plain here;2;0;1;4;0;1;1;0;3;3;3;2;1;3;5;2;3;3;2;0;0;2;1;1;0;1;0;1;3;7;2
Brezel plain to go;1;0;3;2;3;2;0;4;0;0;1;4;1;1;1;1;1;0;0;0;3;0;1;1;2;1;0;1;0;1;0
Cafe Creme groﬂ  here;5;9;2;2;1;3;3;5;6;5;3;4;2;4;3;2;2;3;5;5;4;9;10;8;3;2;3;3;5;9;1
Cafe Creme groﬂ  to go;1;4;3;4;1;1;6;1;3;2;4;3;1;4;3;1;0;5;3;3;5;3;2;2;2;7;3;3;2;5;0
Cafe Creme klein  here;7;11;3;6;12;8;15;10;15;5;4;10;11;15;19;8;8;7;9;9;13;9;22;16;9;12;11;11;10;23;7
Cafe Creme klein  to go;1;5;2;3;8;2;10;2;5;1;2;3;5;5;8;2;2;2;5;4;4;2;5;1;10;11;10;7;8;4;1
Caffe Latte mit Sirup here;1;2;0;1;0;2;0;0;3;2;3;0;3;3;2;4;1;4;2;3;2;4;3;1;2;3;5;8;0;5;7
Caffe Latte mit Sirup to go;0;3;0;0;0;2;2;1;0;0;2;0;0;4;0;2;1;0;0;2;1;2;1;0;2;1;4;1;2;1;4
Caffe Latte ohne Sirup bring in;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Caffe Latte ohne Sirup here;17;29;9;13;4;16;11;14;18;13;17;7;22;19;14;17;16;16;14;13;12;9;17;16;18;13;25;20;13;37;11
Caffe Latte ohne Sirup to go;5;14;1;10;8;13;9;5;9;4;8;7;11;12;12;6;2;8;11;9;9;14;9;4;15;12;7;6;5;8;4
Cappuccino groﬂ  here;9;14;15;7;11;3;11;9;12;10;6;15;9;7;15;8;7;9;10;9;18;14;23;12;17;15;9;7;17;21;12
Cappuccino groﬂ  to go;7;9;8;8;5;6;4;5;3;5;2;1;8;2;6;6;5;4;6;5;6;2;15;5;7;4;7;2;3;11;1
Cappuccino klein  here;15;21;7;9;6;15;19;17;13;8;9;6;16;14;25;19;8;23;15;17;16;23;14;15;14;14;12;17;14;29;18
Cappuccino klein  to go;5;5;4;3;3;10;1;6;6;1;2;4;2;2;1;3;1;2;2;3;7;6;12;2;4;6;4;2;4;7;1
Chai Tea groﬂ Chai Banana here;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0
Chai Tea groﬂ Chai Banana to go;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;1;0;0
Chai Tea groﬂ Chai Tea Latte here;4;2;0;2;0;3;4;6;5;7;1;1;7;7;9;5;1;7;6;11;3;8;10;7;7;5;7;1;10;8;5
Chai Tea groﬂ Chai Tea Latte to go;2;1;2;0;0;0;1;1;1;0;1;0;1;1;3;1;0;3;1;2;6;1;4;2;0;1;2;2;2;1;1
Chai Tea klein Chai Banana here;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Chai Tea klein Chai Banana to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Chai Tea klein Chai Tea Latte here;7;5;3;0;1;2;3;0;1;1;2;0;4;1;3;0;3;5;6;6;3;4;2;5;1;4;6;1;3;8;5
Chai Tea klein Chai Tea Latte to go;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;3;0;3;1;4;0;1;2;0;0;1;1;2;1;3;1
Chocolate groﬂ Bio-Kakao here;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1
Chocolate groﬂ Bio-Kakao to go;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
Chocolate groﬂ black here;2;2;0;1;0;0;5;4;3;3;0;2;0;2;5;0;2;2;0;6;2;3;3;2;5;4;1;3;7;5;2
Chocolate groﬂ black to go;0;3;0;0;1;0;1;0;1;0;0;1;1;0;0;3;1;1;2;2;1;0;2;1;2;2;1;3;1;2;0
Chocolate groﬂ Marshmallow Chocolate to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Chocolate groﬂ white here;0;2;0;0;0;0;1;0;0;2;0;2;0;3;0;2;0;2;0;2;1;1;4;2;1;1;1;0;1;1;1
Chocolate groﬂ white to go;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;4;0;0;0;1;0;1;1;0
Chocolate klein Bio-Kakao here;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Chocolate klein Bio-Kakao to go;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chocolate klein black here;1;2;0;3;2;3;6;2;3;5;1;0;2;6;4;1;1;9;4;9;4;3;2;10;4;3;1;2;8;6;4
Chocolate klein black to go;0;0;0;0;1;0;0;0;0;0;3;0;0;2;1;0;1;0;1;5;0;0;2;2;0;4;0;0;1;2;2
Chocolate klein white here;0;1;0;1;0;0;1;1;0;0;0;0;4;1;1;0;0;1;2;4;1;1;0;1;0;0;1;0;3;3;2
Chocolate klein white to go;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;3;0;0;0;1;0;0;0
Cookie here;4;6;3;3;0;4;4;8;6;3;3;2;10;6;4;8;3;6;2;6;6;9;7;4;7;3;4;4;4;5;2
Cookie to go;5;1;4;4;5;5;5;5;1;2;3;1;1;3;3;3;1;3;3;3;3;3;3;2;1;0;4;2;1;3;0
Cool Latte Iced Caffe here;0;1;5;9;8;8;1;4;3;0;6;6;4;1;0;7;1;4;4;0;2;0;4;0;6;3;1;3;4;4;1
Cool Latte Iced Caffe to go;0;4;5;7;6;10;1;4;6;1;3;6;1;1;1;9;2;3;0;0;3;0;0;0;2;2;3;2;1;2;0
Cool Latte Iced Espresso here;1;1;5;4;1;3;0;1;0;0;2;4;0;1;0;2;0;1;0;0;1;0;2;0;1;1;0;1;3;0;0
Cool Latte Iced Espresso to go;0;1;1;1;3;2;0;1;0;0;2;2;0;0;0;4;0;0;1;0;0;0;0;0;0;2;1;3;0;2;0
Cool Latte Iced Macchiato here;1;6;6;9;9;3;3;8;11;4;7;5;7;3;8;13;1;2;4;0;7;1;4;6;11;13;3;18;7;3;2
Cool Latte Iced Macchiato to go;0;2;5;11;6;4;4;3;4;6;7;8;1;2;1;13;0;1;0;0;2;1;6;1;3;1;6;2;2;1;0
Donut here;6;9;4;6;6;4;6;7;3;5;3;6;2;7;8;5;5;7;1;9;7;5;12;12;11;3;8;7;13;21;5
Donut to go;0;4;9;2;7;4;0;5;4;5;0;0;4;0;2;4;0;3;5;6;5;2;5;4;2;8;4;5;1;42;1