 Zeit,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
Bagel Cream Cheese here,0,0,5,2,7,7,9,5,3,3,1,3,0,0,0,0,0
Bagel Cream Cheese to go,0,1,16,0,2,5,1,3,0,0,1,1,1,0,0,0,0
Bagel Fitness here,0,1,3,3,3,12,23,20,8,6,9,4,5,2,0,0,0
Bagel Fitness to go,0,1,3,1,4,2,4,4,2,4,1,1,2,0,0,0,0
Bagel Green Garden here,0,0,0,0,1,3,6,10,2,5,3,2,4,1,0,0,0
Bagel Green Garden to go,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0
Bagel India here,0,0,0,0,1,3,5,1,5,5,1,1,1,0,0,0,0
Bagel India to go,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bagel Mexico here,0,0,0,1,4,1,6,12,5,3,4,2,4,0,0,0,0
Bagel Mexico to go,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bagel Morning Star here,0,0,2,3,3,4,2,1,0,0,0,0,0,0,0,0,0
Bagel Morning Star to go,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Bagel Peanut Butter here,0,0,0,0,1,1,3,2,0,1,1,0,0,0,0,0,0
Bagel plain here,0,1,1,1,2,1,2,1,0,5,4,5,1,1,0,0,0
Bagel plain to go,0,3,1,5,1,3,3,9,0,4,0,3,12,0,0,0,0
Bagel Roma oder Florenz here,0,1,3,5,7,26,56,49,25,26,19,15,5,2,1,0,0
Bagel Roma oder Florenz to go,0,4,3,2,3,2,8,11,8,8,4,0,3,0,0,0,0
Bagel Stulle Deluxe here,0,2,0,1,5,14,20,15,8,7,8,11,5,1,0,0,0
Bagel Stulle Deluxe to go,0,2,1,3,2,3,1,2,0,1,2,0,1,1,0,0,0
Bagel Vital here,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Brezel Butter here,0,0,0,1,1,3,5,7,2,2,2,1,0,0,0,0,0
Brezel plain here,0,0,1,3,10,9,6,6,4,2,6,2,4,1,0,0,0
Brezel plain to go,0,1,1,0,2,2,2,1,3,3,3,0,0,0,0,0,0
Cafe Creme groﬂ  here,0,3,4,3,0,8,11,5,10,19,23,9,4,2,0,0,0
Cafe Creme groﬂ  to go,0,17,9,10,7,1,3,5,3,11,7,4,4,1,0,0,0
Cafe Creme klein  here,0,9,16,6,8,12,38,36,25,25,42,49,16,10,2,0,0
Cafe Creme klein  to go,0,0,7,19,4,6,11,15,10,16,8,10,4,3,1,0,0
Caffe Latte mit Sirup here,0,1,0,2,2,8,5,10,15,16,19,23,5,1,0,0,0
Caffe Latte mit Sirup to go,0,0,1,3,2,5,3,5,3,14,11,3,3,0,1,0,0
Caffe Latte ohne Sirup here,0,3,26,10,31,27,41,62,62,59,57,52,23,9,0,0,0
Caffe Latte ohne Sirup to go,0,5,17,9,14,19,25,28,40,35,41,20,4,5,0,0,0
Cappuccino groﬂ  here,0,0,19,5,17,24,34,44,46,36,46,27,17,4,1,0,0
Cappuccino groﬂ  to go,0,1,30,30,11,4,8,26,18,17,27,12,3,2,0,0,0
Cappuccino klein  here,0,0,5,10,11,43,69,79,55,38,70,48,29,10,0,0,0
Cappuccino klein  to go,0,0,2,3,5,5,8,15,14,16,12,15,5,1,0,0,0
Chai Tea groﬂ Chai Banana here,0,0,0,0,2,1,2,3,3,1,3,5,4,1,0,0,0
Chai Tea groﬂ Chai Banana to go,0,0,0,0,0,0,1,0,2,0,1,3,0,0,0,0,0
Chai Tea groﬂ Chai Chocolate here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chai Tea groﬂ Chai Tea Latte here,0,4,19,5,7,8,28,21,22,29,41,33,7,6,2,0,0
Chai Tea groﬂ Chai Tea Latte to go,0,4,2,1,3,7,8,10,12,15,15,17,7,1,0,0,0
Chai Tea klein Chai Banana here,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Chai Tea klein Chai Tea Latte here,0,0,2,3,7,7,10,23,13,12,17,18,15,4,0,0,0
Chai Tea klein Chai Tea Latte to go,0,0,1,2,0,1,3,5,7,7,11,7,3,2,0,0,0
Chocolate groﬂ Bio-Kakao here,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Chocolate groﬂ Bio-Kakao to go,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chocolate groﬂ black here,0,1,0,4,4,7,13,10,10,19,18,24,8,4,0,0,0
Chocolate groﬂ black to go,0,0,0,2,1,2,2,3,9,9,9,5,3,5,0,0,0
Chocolate groﬂ Marshmallow Chocolate here,0,0,0,0,0,0,0,0,2,3,2,4,1,0,0,0,0
Chocolate groﬂ Marshmallow Chocolate to go,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
