 Datum,01.02.11,02.02.11,03.02.11,04.02.11,05.02.11,06.02.11,07.02.11,08.02.11,09.02.11,10.02.11,11.02.11,12.02.11,13.02.11,14.02.11,15.02.11,16.02.11,17.02.11,18.02.11,19.02.11,20.02.11,21.02.11,22.02.11,23.02.11,24.02.11,25.02.11,26.02.11,27.02.11,28.02.11,29.02.11,30.02.11,31.02.11
Bagel Cream Cheese here,3,1,1,1,4,2,1,3,3,2,3,0,0,0,3,0,1,1,1,1,0,1,7,0,0,2,0,4,0,0,0
Bagel Cream Cheese to go,3,0,3,3,0,0,1,2,2,1,2,0,0,1,1,3,1,1,1,0,1,2,2,0,0,0,0,1,0,0,0
Bagel Fitness here,4,2,2,1,4,3,5,2,7,7,2,6,4,2,3,4,5,3,6,2,3,1,3,2,4,7,0,5,0,0,0
Bagel Fitness to go,0,2,1,0,1,2,1,1,1,0,2,1,1,2,3,5,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0
Bagel Green Garden here,1,1,1,6,2,1,2,2,1,1,2,1,0,2,1,0,0,0,2,1,2,3,2,1,0,0,1,1,0,0,0
Bagel Green Garden to go,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bagel India here,1,0,0,0,0,2,1,0,1,3,0,0,2,0,1,0,0,3,2,0,1,0,1,2,0,0,1,2,0,0,0
Bagel India to go,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Mexico here,0,5,2,1,0,1,2,2,1,1,1,2,3,0,1,0,3,1,3,1,1,0,2,3,0,2,2,2,0,0,0
Bagel Mexico to go,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bagel Morning Star here,0,0,0,0,2,0,2,0,1,2,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Bagel Morning Star to go,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bagel Peanut Butter here,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Bagel plain here,0,0,1,2,0,0,1,4,1,2,2,1,1,1,0,1,0,1,0,0,1,0,0,2,1,2,0,1,0,0,0
Bagel plain to go,3,7,0,0,0,0,0,2,3,0,0,4,2,1,2,0,0,4,0,0,2,1,7,0,0,0,1,5,0,0,0
Bagel Roma oder Florenz here,4,9,6,7,16,5,9,5,5,9,12,8,7,6,8,12,12,5,12,6,17,5,6,9,11,11,6,12,0,0,0
Bagel Roma oder Florenz to go,2,0,0,2,2,4,2,0,2,2,1,4,2,2,8,2,2,2,2,0,1,1,4,3,0,2,1,3,0,0,0
Bagel Stulle Deluxe here,1,3,2,2,6,3,3,4,8,0,3,6,1,5,2,2,2,2,7,4,4,1,2,4,5,7,3,5,0,0,0
Bagel Stulle Deluxe to go,1,0,0,0,4,0,1,0,0,3,1,0,1,0,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Bagel Vital here,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brezel Butter here,1,0,1,0,2,1,0,3,1,1,1,0,0,1,0,1,0,1,1,1,3,1,1,0,0,2,0,1,0,0,0
Brezel plain here,4,2,3,2,3,2,0,1,0,3,2,3,0,2,1,2,3,2,1,2,2,2,1,1,3,2,0,5,0,0,0
Brezel plain to go,0,1,1,0,0,2,3,0,0,0,0,1,1,0,1,1,1,0,2,1,0,0,0,0,0,0,2,1,0,0,0
Cafe Creme groﬂ  here,5,4,2,2,8,3,1,4,3,6,5,4,4,3,1,3,7,3,3,1,1,6,2,6,4,6,1,3,0,0,0
Cafe Creme groﬂ  to go,4,0,1,0,3,1,6,4,2,2,2,5,2,2,4,6,3,4,5,2,3,4,5,5,2,1,1,3,0,0,0
Cafe Creme klein  here,6,9,7,13,18,12,12,9,14,14,11,9,12,10,8,12,10,9,16,5,11,9,9,11,15,6,1,16,0,0,0
Cafe Creme klein  to go,4,3,3,4,3,7,5,4,3,4,4,6,7,2,7,4,4,4,9,0,4,4,4,2,3,3,4,3,0,0,0
Caffe Latte mit Sirup here,1,2,4,3,7,2,4,2,2,4,6,4,7,6,2,1,3,5,6,2,8,3,5,4,2,6,3,3,0,0,0
Caffe Latte mit Sirup to go,1,1,1,1,5,7,1,0,0,1,1,3,2,2,2,3,2,5,5,0,2,1,1,2,1,1,0,3,0,0,0
Caffe Latte ohne Sirup here,6,16,16,15,37,13,20,13,18,16,21,27,12,12,15,15,25,13,15,9,14,15,17,9,16,31,12,14,0,0,0
Caffe Latte ohne Sirup to go,6,7,6,6,12,19,14,16,2,9,10,18,15,11,5,16,6,4,13,4,7,9,10,5,9,8,1,14,0,0,0
Cappuccino groﬂ  here,4,12,6,7,21,8,6,6,11,14,10,29,15,6,9,12,10,14,11,15,14,11,9,10,11,22,11,6,0,0,0
Cappuccino groﬂ  to go,3,6,10,6,11,13,10,5,4,8,6,11,16,5,11,8,7,6,2,1,4,6,9,4,7,1,6,3,0,0,0
Cappuccino klein  here,12,12,19,15,23,11,30,8,23,21,21,25,16,16,13,20,13,11,13,18,13,7,14,14,23,34,11,11,0,0,0
Cappuccino klein  to go,4,4,2,3,6,3,8,2,3,3,2,5,6,7,5,2,1,4,4,0,1,4,5,4,5,4,2,2,0,0,0
Chai Tea groﬂ Chai Banana here,1,1,2,2,3,1,0,0,1,1,0,2,2,0,0,1,2,0,0,1,0,0,2,0,0,1,2,0,0,0,0
Chai Tea groﬂ Chai Banana to go,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Chai Tea groﬂ Chai Chocolate here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chai Tea groﬂ Chai Tea Latte here,8,8,8,11,21,5,10,5,6,10,11,5,11,7,14,7,11,10,7,3,6,6,7,7,6,9,5,8,0,0,0
Chai Tea groﬂ Chai Tea Latte to go,3,0,0,1,9,14,2,3,4,5,5,9,7,4,2,4,2,6,5,0,1,0,2,0,3,8,2,1,0,0,0
Chai Tea klein Chai Banana here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Chai Tea klein Chai Tea Latte here,3,4,2,3,9,4,6,3,3,4,5,6,4,8,2,5,5,7,9,2,4,3,4,2,4,9,4,7,0,0,0
Chai Tea klein Chai Tea Latte to go,0,1,1,0,1,8,2,1,1,0,5,4,5,3,3,3,1,1,3,0,0,3,2,0,0,0,0,1,0,0,0
