 Datum;01.04.11;02.04.11;03.04.11;04.04.11;05.04.11;06.04.11;07.04.11;08.04.11;09.04.11;10.04.11;11.04.11;12.04.11;13.04.11;14.04.11;15.04.11;16.04.11;17.04.11;18.04.11;19.04.11;20.04.11;21.04.11;22.04.11;23.04.11;24.04.11;25.04.11;26.04.11;27.04.11;28.04.11;29.04.11;30.04.11;31.04.11
Bagel Cream Cheese here;3;1;0;0;1;3;2;0;1;1;2;2;1;2;3;1;0;1;2;1;1;0;2;0;0;0;2;4;1;4;0
Bagel Cream Cheese to go;1;2;0;1;1;2;1;1;0;1;3;1;1;1;1;2;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0
Bagel Fitness here;2;3;2;4;2;4;2;4;6;2;3;3;1;7;4;4;1;3;4;3;6;2;5;0;1;7;6;3;4;7;0
Bagel Fitness to go;3;2;1;0;0;1;3;1;1;2;2;3;3;1;1;1;0;3;1;3;0;1;1;0;1;0;2;1;2;0;0
Bagel Green Garden here;0;0;1;1;4;1;1;0;1;0;1;0;3;1;0;3;1;2;2;1;2;0;1;0;1;2;1;2;1;0;0
Bagel Green Garden to go;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel India here;0;1;0;2;0;0;0;0;4;1;1;0;1;1;2;6;0;1;1;0;1;1;0;0;0;1;0;2;0;1;0
Bagel India to go;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Bagel Mexico here;3;3;2;1;5;2;1;2;3;0;1;1;3;4;1;1;0;5;1;2;3;1;3;0;0;0;4;3;4;1;0
Bagel Mexico to go;0;1;1;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
Bagel Morning Star here;0;0;0;3;0;0;0;1;0;1;1;0;1;0;1;3;0;1;0;1;2;0;4;1;0;1;1;0;0;0;0
Bagel Morning Star to go;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bagel Peanut Butter here;0;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bagel Peanut Butter to go;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Bagel plain here;0;0;2;2;1;1;0;1;2;1;0;1;0;0;1;0;1;0;0;0;2;0;1;0;1;0;3;0;2;3;0
Bagel plain to go;4;9;0;2;1;1;1;10;2;0;1;1;2;0;0;4;2;2;3;4;0;4;0;0;0;1;3;5;0;2;0
Bagel Roma oder Florenz here;9;14;3;13;14;9;9;7;12;6;9;7;7;12;4;22;6;16;10;15;12;3;14;3;1;9;19;11;12;10;0
Bagel Roma oder Florenz to go;3;3;4;4;4;3;3;2;7;3;5;3;7;1;3;4;0;3;2;2;2;3;4;0;1;5;3;3;1;4;0
Bagel Stulle Deluxe here;1;2;1;1;2;0;4;4;5;2;1;2;1;4;2;5;1;2;6;5;2;2;5;2;2;5;5;3;5;5;0
Bagel Stulle Deluxe to go;1;3;1;2;1;1;0;0;2;0;2;0;2;0;1;2;0;3;1;1;0;1;1;0;0;0;0;0;2;0;0
Bagel Vital here;2;0;0;0;0;1;0;1;0;1;1;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Bagel Vital to go;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brezel Butter here;1;0;0;0;0;1;0;0;0;0;0;0;0;3;2;2;0;0;0;0;0;0;1;0;1;0;1;2;2;0;0
Brezel Butter to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Brezel plain here;3;1;3;4;3;3;0;2;2;3;4;3;3;0;2;3;2;4;1;2;3;0;1;2;2;0;1;1;1;4;0
Brezel plain to go;1;2;2;0;0;0;1;0;2;0;1;0;1;4;0;0;0;1;1;1;0;3;0;0;0;0;2;0;0;1;0
Cafe Creme groﬂ  here;3;4;2;6;1;1;1;2;9;5;3;6;4;0;5;5;5;2;1;3;3;6;5;2;1;3;7;3;4;5;0
Cafe Creme groﬂ  to go;4;3;6;5;2;8;2;3;8;5;2;2;2;5;5;2;4;4;3;4;3;2;2;2;1;0;7;5;1;2;0
Cafe Creme klein  here;14;4;10;8;7;7;3;8;10;5;10;8;15;15;9;13;10;10;16;7;6;8;14;3;5;7;19;18;11;21;0
Cafe Creme klein  to go;3;5;3;2;2;8;2;7;7;8;6;3;8;4;3;6;4;6;4;6;3;3;3;4;3;6;3;4;4;7;0
Caffe Latte mit Sirup here;0;0;0;2;3;2;0;5;1;0;1;4;3;6;1;7;0;2;3;0;0;2;3;1;2;2;3;2;6;0;0
Caffe Latte mit Sirup to go;0;9;2;0;4;0;1;2;1;1;0;0;3;1;2;2;2;2;2;2;3;1;3;0;0;0;2;2;0;0;0
Caffe Latte ohne Sirup here;13;21;9;14;10;13;8;5;16;7;11;9;25;11;25;25;13;15;14;11;9;5;15;3;8;15;26;13;16;18;0
Caffe Latte ohne Sirup to go;6;12;10;5;10;8;9;16;19;11;8;6;6;12;6;10;9;8;12;9;4;7;7;7;8;6;13;11;10;20;0
Cappuccino groﬂ  here;9;8;3;10;8;5;10;9;15;6;7;5;12;14;19;28;7;7;8;11;4;3;13;7;5;17;17;6;12;14;0
Cappuccino groﬂ  to go;5;5;7;5;6;5;7;7;9;10;5;4;4;12;7;11;2;7;9;3;4;4;6;7;2;3;7;3;5;8;0
Cappuccino klein  here;16;14;7;11;8;14;9;9;16;3;12;12;12;15;18;22;5;8;7;13;8;3;8;5;12;19;28;12;13;31;0
Cappuccino klein  to go;7;4;4;5;3;4;5;9;11;3;10;1;4;5;4;5;5;4;4;8;2;2;8;3;4;10;3;4;7;5;0
Chai Tea groﬂ Chai Banana here;1;0;0;1;1;1;0;0;0;0;0;2;1;2;0;2;3;0;0;2;0;0;0;0;0;0;2;0;2;0;0
