 Zeit;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
Brezel plain here;0;2;1;3;8;7;12;8;5;7;6;2;2;0;0;0;0
Brezel plain to go;0;0;2;5;3;1;1;0;1;5;4;0;1;0;0;0;0
Cafe Creme groﬂ  here;0;2;4;3;9;8;9;8;10;18;15;14;7;0;0;0;0
Cafe Creme groﬂ  to go;0;15;11;6;6;5;2;6;6;13;15;8;9;2;0;0;0
Cafe Creme klein  here;0;14;9;11;11;14;43;42;17;38;34;31;25;12;0;0;0
Cafe Creme klein  to go;0;1;7;13;12;5;10;12;11;19;16;11;10;10;0;0;0
Caffe Latte mit Sirup here;0;1;0;4;3;3;4;6;8;11;8;10;3;0;0;0;0
Caffe Latte mit Sirup to go;0;0;3;2;5;3;6;4;5;6;3;5;4;1;0;0;0
Caffe Latte ohne Sirup here;0;7;21;19;30;32;48;51;47;39;49;39;16;5;0;0;0
Caffe Latte ohne Sirup to go;0;5;10;10;21;24;23;36;26;40;44;21;20;5;0;0;0
Cappuccino groﬂ  here;0;3;14;14;18;17;36;41;37;34;34;27;16;8;0;0;0
Cappuccino groﬂ  to go;0;7;19;10;4;9;14;24;23;23;22;15;7;2;0;0;0
Cappuccino klein  here;0;1;3;14;28;28;55;62;59;24;42;25;18;11;0;0;0
Cappuccino klein  to go;0;2;5;11;5;9;19;20;22;18;21;8;6;7;0;0;0
Chai Tea groﬂ Chai Banana here;0;0;0;2;1;1;3;2;0;1;2;3;4;1;0;0;0
Chai Tea groﬂ Chai Banana to go;0;0;0;0;0;0;2;1;1;0;1;2;0;3;0;0;0
Chai Tea groﬂ Chai Tea Latte here;0;1;3;5;4;13;5;11;16;12;14;15;16;8;0;0;0
Chai Tea groﬂ Chai Tea Latte to go;0;1;0;2;1;6;5;10;10;8;3;9;8;8;0;0;0
Chai Tea klein Chai Tea Latte here;0;1;1;2;5;3;13;7;12;3;14;11;6;3;0;0;0
Chai Tea klein Chai Tea Latte to go;0;0;0;1;1;2;4;4;2;8;4;2;3;3;0;0;0
Chocolate groﬂ Bio-Kakao here;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
Chocolate groﬂ Bio-Kakao to go;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Chocolate groﬂ black here;0;0;0;2;1;5;8;4;2;4;12;3;7;3;0;0;0
Chocolate groﬂ black to go;0;0;0;0;3;4;0;4;6;3;9;2;3;3;0;0;0
Chocolate groﬂ Marshmallow Chocolate here;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0
Chocolate groﬂ Marshmallow Chocolate to go;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Chocolate groﬂ white here;0;1;1;0;2;0;1;0;0;4;2;1;2;0;0;0;0
Chocolate groﬂ white to go;0;0;0;0;0;0;2;3;0;2;2;2;1;0;0;0;0
Chocolate klein Bio-Kakao here;0;0;0;7;1;0;0;1;0;0;1;0;0;0;0;0;0
Chocolate klein Bio-Kakao to go;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Chocolate klein black here;0;0;4;3;6;6;1;3;8;7;10;5;9;2;0;0;0
Chocolate klein black to go;0;0;0;0;0;1;5;1;2;3;2;4;3;0;0;0;0
Chocolate klein white here;0;0;0;3;0;0;4;2;2;2;2;6;2;0;0;0;0
Chocolate klein white to go;0;0;0;0;0;0;0;0;0;2;3;3;0;3;0;0;0
Cookie here;0;2;2;4;5;3;24;24;17;19;17;18;13;3;0;0;0
Cookie to go;0;1;4;6;3;7;17;18;14;15;12;6;3;4;0;0;0
Cool Latte Iced Caffe here;0;0;0;0;1;3;2;9;19;19;12;17;4;2;0;0;0
Cool Latte Iced Caffe to go;0;0;0;0;1;1;6;16;26;29;30;20;8;2;0;0;0
Cool Latte Iced Espresso here;0;0;0;1;0;1;1;5;7;3;3;2;2;0;0;0;0
Cool Latte Iced Espresso to go;0;0;0;0;0;0;4;6;7;2;3;2;3;3;0;0;0
Cool Latte Iced Macchiato here;0;0;0;2;2;5;6;10;26;27;21;14;6;1;0;0;0
Cool Latte Iced Macchiato to go;0;0;0;0;2;3;7;18;46;42;38;22;4;4;0;0;0
Donut here;0;1;1;7;5;7;17;11;18;32;21;23;4;4;0;0;0
Donut to go;0;0;2;10;5;27;11;6;14;20;11;19;8;4;0;0;0