 Zeit,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
Bagel Cream Cheese here,0,0,3,5,8,1,2,6,4,2,4,2,2,2,0,0,0
Bagel Cream Cheese to go,0,1,13,0,1,1,1,0,1,1,3,1,0,0,0,0,0
Bagel Fitness here,0,0,1,10,4,13,18,24,13,6,9,2,4,1,0,0,0
Bagel Fitness to go,0,0,0,7,4,2,8,4,5,6,0,3,0,1,0,0,0
Bagel Green Garden here,0,0,0,1,2,2,8,7,4,4,3,1,1,0,0,0,0
Bagel Green Garden to go,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bagel India here,0,0,0,0,0,2,7,5,4,4,2,2,0,1,0,0,0
Bagel India to go,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0
Bagel Mexico here,0,0,1,1,2,5,14,12,7,4,7,3,4,0,0,0,0
Bagel Mexico to go,0,0,0,0,0,0,2,1,1,2,3,1,0,0,0,0,0
Bagel Morning Star here,0,1,6,5,5,2,3,0,0,0,0,0,0,0,0,0,0
Bagel Morning Star to go,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bagel Peanut Butter here,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0
Bagel Peanut Butter to go,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Bagel plain here,0,0,0,1,2,4,3,2,2,0,5,4,1,1,0,0,0
Bagel plain to go,0,3,7,6,1,6,12,1,7,5,3,10,3,0,0,0,0
Bagel Roma oder Florenz here,0,3,5,16,13,30,55,60,36,30,19,14,8,9,0,0,0
Bagel Roma oder Florenz to go,0,5,8,8,5,8,16,12,10,9,6,4,1,0,0,0,0
Bagel Stulle Deluxe here,0,0,3,4,3,6,24,17,13,5,2,8,1,1,0,0,0
Bagel Stulle Deluxe to go,0,3,0,0,4,5,1,4,1,1,3,0,5,0,0,0,0
Bagel Vital here,0,0,0,0,1,1,2,1,1,2,0,2,1,0,0,0,0
Bagel Vital to go,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Brezel Butter here,0,0,3,0,1,3,1,1,1,0,4,2,0,0,0,0,0
Brezel Butter to go,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
