 Datum;01.03.11;02.03.11;03.03.11;04.03.11;05.03.11;06.03.11;07.03.11;08.03.11;09.03.11;10.03.11;11.03.11;12.03.11;13.03.11;14.03.11;15.03.11;16.03.11;17.03.11;18.03.11;19.03.11;20.03.11;21.03.11;22.03.11;23.03.11;24.03.11;25.03.11;26.03.11;27.03.11;28.03.11;29.03.11;30.03.11;31.03.11
Bagel Cream Cheese here;1;3;2;5;5;4;2;0;3;1;4;4;1;0;1;1;1;2;3;0;1;1;0;0;3;4;0;2;0;0;0
Bagel Cream Cheese to go;2;1;1;2;1;0;2;2;2;1;1;0;0;1;1;1;2;1;0;0;3;2;3;2;1;0;0;1;0;1;1
Bagel Fitness here;3;6;2;4;8;3;4;2;5;3;4;8;1;6;3;5;5;5;12;2;7;4;7;5;3;1;5;2;5;3;5
Bagel Fitness to go;1;0;1;0;4;2;0;3;0;5;0;0;1;0;1;5;0;0;2;2;0;2;3;1;3;0;0;2;0;2;0
Bagel Green Garden here;0;1;0;1;0;0;1;3;2;0;0;3;0;1;0;1;5;0;3;2;3;2;0;1;0;2;0;4;2;0;0
Bagel Green Garden to go;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
Bagel India here;0;0;0;3;1;0;0;1;2;0;4;2;1;2;1;0;0;2;2;1;0;1;0;2;1;2;2;1;0;1;0
Bagel Mexico here;1;0;1;1;4;0;3;2;4;0;1;1;0;2;1;0;1;2;3;2;1;3;1;0;3;5;5;2;3;2;1
Bagel Mexico to go;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0
Bagel Morning Star here;4;2;0;2;2;0;4;2;1;2;0;2;1;2;0;2;1;3;1;0;3;0;3;0;0;0;0;1;1;0;0
Bagel Morning Star to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Bagel Peanut Butter here;0;1;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
Bagel plain here;2;1;1;1;1;2;0;0;1;2;5;2;1;1;1;1;4;3;3;0;0;0;1;1;7;0;1;0;1;0;2
Bagel plain to go;0;2;4;3;5;1;2;0;2;2;1;1;0;0;1;5;0;5;0;1;3;0;0;1;1;1;0;2;5;8;3
Bagel Roma oder Florenz here;10;9;8;9;16;2;7;4;11;13;8;13;6;9;5;11;10;11;17;6;13;8;7;4;10;16;8;4;9;7;9
Bagel Roma oder Florenz to go;4;1;4;1;4;2;1;7;5;5;1;7;0;0;3;11;2;4;0;6;0;5;6;6;5;1;1;4;3;5;0
Bagel Stulle Deluxe here;3;7;3;3;6;2;4;2;3;4;3;3;2;3;1;7;2;3;6;3;10;4;2;3;4;3;2;3;1;1;3
Bagel Stulle Deluxe to go;0;0;1;1;4;1;1;4;0;5;1;0;0;0;2;4;0;2;0;0;2;0;3;0;2;1;3;0;2;3;1
Bagel Vital here;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;3;0;0;0;0;0;0;0;1;1;0
Bagel Vital to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
Brezel Butter here;0;1;1;2;1;0;0;0;1;0;2;1;0;0;1;3;1;1;1;0;0;0;0;1;3;0;1;1;1;0;0
Brezel plain here;5;2;4;0;3;2;3;1;1;3;2;4;1;3;1;0;4;2;5;1;0;1;2;1;3;3;1;2;0;4;7
Brezel plain to go;1;1;0;0;2;0;0;2;1;0;2;0;0;1;0;0;1;0;0;1;2;0;2;1;0;1;1;0;2;0;1
Cafe Creme groﬂ  here;4;6;3;2;9;5;4;2;5;3;5;6;9;0;2;4;6;1;6;4;4;1;3;1;6;5;7;4;2;1;6
Cafe Creme groﬂ  to go;4;2;4;3;4;6;3;6;3;3;2;8;1;1;3;2;2;1;4;4;3;3;3;6;3;4;6;1;7;5;0
Cafe Creme klein  here;15;14;11;10;10;4;10;12;13;23;13;15;8;14;11;12;23;8;23;10;16;15;11;14;14;10;4;11;12;13;11
Cafe Creme klein  to go;6;1;8;4;8;1;5;7;9;5;2;15;4;7;4;1;5;5;5;1;4;8;6;4;9;5;2;5;7;6;3
Caffe Latte mit Sirup here;6;1;4;6;7;5;4;2;2;3;5;3;0;2;2;2;5;1;0;1;1;2;0;2;2;5;2;1;0;2;3
Caffe Latte mit Sirup to go;1;1;1;6;4;2;5;2;2;1;0;5;1;0;5;0;1;3;5;2;2;1;6;0;2;2;5;1;1;0;5
Caffe Latte ohne Sirup bring in;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caffe Latte ohne Sirup here;32;12;14;20;33;17;14;8;24;22;21;31;18;15;9;20;18;21;22;12;7;11;14;21;20;19;11;19;12;23;13
Caffe Latte ohne Sirup to go;7;8;7;16;23;11;11;13;12;11;7;28;6;13;16;10;7;6;19;18;13;19;16;12;12;13;17;12;18;13;5
Cappuccino groﬂ  here;11;10;14;10;23;5;9;9;14;7;21;17;12;2;4;8;10;17;20;12;6;10;12;9;11;21;8;10;15;9;8
Cappuccino groﬂ  to go;5;6;5;11;19;9;11;14;7;5;7;9;6;11;10;2;6;7;11;13;6;11;14;11;6;10;9;4;8;6;7
Cappuccino klein  here;23;15;19;18;18;10;21;13;14;16;24;19;13;21;20;20;21;16;35;14;17;9;9;15;11;18;8;17;18;22;21
Cappuccino klein  to go;5;6;5;3;9;2;14;9;2;6;7;11;4;2;11;3;5;5;14;11;3;13;8;10;11;5;7;11;13;4;4
Chai Tea groﬂ Chai Banana here;1;0;0;3;0;0;1;0;3;4;1;1;0;0;1;0;1;2;0;1;1;1;1;0;1;4;1;1;0;2;0
Chai Tea groﬂ Chai Banana to go;1;0;0;0;4;1;2;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0
Chai Tea groﬂ Chai Chocolate here;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Chai Tea groﬂ Chai Tea Latte bring in;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chai Tea groﬂ Chai Tea Latte here;6;11;9;5;13;8;8;8;7;13;8;15;6;5;3;7;9;12;15;7;5;4;6;8;6;7;4;6;3;6;4
Chai Tea groﬂ Chai Tea Latte to go;1;2;3;5;13;3;5;4;2;0;0;15;4;1;0;0;3;3;4;7;3;5;4;4;5;3;4;1;5;1;2
Chai Tea klein Chai Banana here;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chai Tea klein Chai Tea Latte here;1;7;4;5;11;1;5;3;10;8;6;5;3;2;2;4;6;5;9;2;4;3;4;3;6;5;1;4;2;4;6
Chai Tea klein Chai Tea Latte to go;2;1;2;2;3;0;1;2;1;2;0;2;0;3;0;0;3;1;2;3;1;4;7;1;4;3;5;0;0;1;1
Chocolate groﬂ Bio-Kakao here;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1
Chocolate groﬂ Bio-Kakao to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Chocolate groﬂ black here;6;5;4;6;5;7;3;7;6;8;1;4;2;1;0;4;3;5;3;3;4;0;2;3;2;5;2;0;2;3;5
Chocolate groﬂ black to go;3;2;1;0;5;2;3;1;0;0;0;3;2;0;1;1;1;2;0;4;2;2;0;0;0;2;2;2;3;0;0
Chocolate groﬂ Marshmallow Chocolate here;1;1;1;0;2;1;1;2;0;0;0;0;2;0;0;0;0;1;0;2;0;0;0;1;0;2;1;0;0;0;0
Chocolate groﬂ Marshmallow Chocolate to go;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Chocolate groﬂ white here;3;2;3;3;0;2;2;1;0;1;2;0;0;0;1;0;0;2;0;0;0;0;1;0;0;1;0;1;0;1;0
Chocolate groﬂ white to go;0;2;0;2;2;2;0;1;1;0;2;2;1;0;2;0;0;0;1;3;1;0;1;2;1;1;1;0;0;0;0
Chocolate klein Bio-Kakao here;0;0;0;0;3;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Chocolate klein Bio-Kakao to go;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Chocolate klein black here;2;7;11;2;12;5;2;8;2;4;4;3;5;3;3;4;4;9;9;6;2;3;3;3;5;7;3;1;1;6;3
Chocolate klein black to go;1;1;3;3;7;0;2;0;0;1;4;2;0;1;3;0;0;0;4;3;2;0;1;3;0;2;0;2;1;1;0
Chocolate klein white here;1;0;2;3;0;1;4;2;2;2;5;3;0;2;0;2;1;1;1;0;0;1;0;0;2;2;0;1;0;1;1
Chocolate klein white to go;0;0;0;0;3;0;3;1;0;0;0;2;0;0;1;1;0;0;0;2;1;0;0;0;1;0;0;0;1;0;0
Cookie here;10;8;7;13;14;4;5;2;6;5;11;9;9;4;7;12;7;4;12;7;4;5;3;3;8;10;4;5;5;6;10
Cookie to go;6;9;5;8;7;3;3;2;2;3;2;5;5;3;4;5;4;3;3;3;3;5;11;6;5;5;5;4;4;3;4
Cool Latte Iced Caffe here;0;0;0;1;0;0;1;0;1;0;0;0;1;1;4;0;0;2;2;0;0;0;0;0;0;0;0;0;1;1;0
Cool Latte Iced Caffe to go;0;0;0;0;0;0;0;1;0;0;0;0;0;2;8;0;0;0;3;1;1;4;4;5;2;1;0;0;5;0;0
Cool Latte Iced Espresso here;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;3;2;0;0
Cool Latte Iced Espresso to go;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
Cool Latte Iced Macchiato here;0;1;1;0;1;0;0;0;0;1;1;5;4;2;3;3;1;0;1;0;2;1;2;1;3;0;0;2;2;1;1
Cool Latte Iced Macchiato to go;1;0;0;2;1;0;0;3;0;4;0;5;0;0;5;0;0;0;0;5;0;3;6;2;4;0;0;2;5;1;0
Donut here;9;11;5;13;13;16;7;14;11;9;8;10;8;4;4;5;3;1;8;7;1;4;8;2;6;11;3;6;5;9;5
Donut to go;1;2;6;6;10;8;2;5;2;1;5;9;9;9;5;4;2;2;7;6;5;5;2;9;1;6;14;5;9;1;4
Eiskaffee here;2;0;1;2;1;0;0;4;3;2;1;16;0;1;8;0;1;0;3;1;0;0;2;4;10;2;4;2;4;2;0
Eiskaffee to go;0;0;0;0;2;0;0;0;0;0;0;3;0;0;7;0;0;1;0;3;2;8;3;11;2;0;2;2;6;0;0
Eisschokolade here;3;0;0;3;2;3;0;2;7;2;1;4;1;1;2;2;2;0;4;1;2;2;5;0;6;5;3;0;2;1;2
Eisschokolade to go;0;0;0;0;0;0;0;0;0;0;0;1;0;9;2;0;1;0;1;2;0;3;2;5;3;1;0;0;8;0;0
Eistee here;0;1;3;2;3;3;1;3;3;0;1;2;1;0;2;2;1;1;0;0;2;3;2;1;4;3;0;3;1;2;1
Eistee to go;1;0;0;0;1;0;1;0;0;1;0;5;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;2;0;0
Espresso groﬂ Barista here;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0
Espresso groﬂ Barista to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Espresso groﬂ Cuba here;0;0;0;0;1;3;0;0;0;1;0;0;1;0;1;1;0;3;0;0;1;0;0;0;0;2;0;0;0;0;0
Espresso groﬂ Cuba to go;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Espresso groﬂ Lungo here;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Espresso groﬂ Lungo to go;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Espresso groﬂ Macchiato here;2;0;0;1;1;0;2;0;0;1;0;1;0;1;2;1;1;0;0;0;0;0;0;1;3;0;2;0;1;0;0
Espresso groﬂ Macchiato to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;1;2;0;0;0;0;0;0
Espresso groﬂ Originale here;1;3;4;0;3;0;2;2;1;1;1;1;1;2;1;3;0;2;1;4;0;3;4;2;4;1;0;3;2;1;1
Espresso groﬂ Originale to go;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
Espresso groﬂ Unplugged here;2;0;0;1;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Espresso groﬂ Unplugged to go;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Espresso klein Barista here;0;1;2;0;1;3;1;1;0;1;0;0;0;1;2;1;0;0;0;0;2;1;0;2;0;0;0;2;0;0;0
Espresso klein Cuba here;2;0;0;1;0;0;1;1;2;0;1;0;0;1;3;2;0;0;0;0;3;2;0;1;1;1;0;0;0;0;3
Espresso klein Cuba to go;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Espresso klein Lungo here;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Espresso klein Lungo to go;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
Espresso klein Macchiato here;1;1;3;3;4;1;6;3;1;0;4;2;0;2;3;3;0;3;1;0;4;2;1;0;2;3;1;2;1;0;0
Espresso klein Macchiato to go;1;0;0;0;0;0;0;1;0;3;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Espresso klein Orange here;0;2;1;0;2;2;0;1;0;0;0;1;0;0;0;2;0;0;1;1;0;0;0;1;0;2;1;0;1;0;1
Espresso klein Orange to go;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Espresso klein Originale here;4;5;3;3;4;1;2;3;3;1;5;8;4;3;8;0;4;1;4;4;2;5;7;5;1;6;3;7;6;7;8
Espresso klein Originale to go;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;2;0;1;1;1;0;2;0;1;0;0;0;0;0;0
Espresso klein Unplugged here;0;0;0;1;2;0;0;0;0;1;4;1;0;1;1;0;1;1;0;1;0;1;0;0;1;2;1;1;1;0;0
Espresso klein Unplugged to go;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Espresso Latte here;1;3;7;6;8;3;2;0;4;5;3;7;1;3;4;5;1;4;5;5;3;6;7;6;4;5;5;9;2;3;2
Espresso Latte to go;1;2;0;1;4;0;1;1;0;1;0;1;1;1;1;1;0;1;0;1;2;0;0;1;0;1;0;1;1;0;1
Frappe black here;0;1;1;1;1;0;2;0;0;1;3;1;0;0;3;0;0;0;3;4;1;2;0;0;0;0;0;0;0;0;0
Frappe black to go;0;0;0;2;1;0;4;0;1;0;0;7;2;1;6;0;1;0;3;1;0;0;0;1;0;1;0;0;0;0;0
Frappe white here;0;0;0;0;0;2;0;1;1;1;0;0;0;2;3;1;0;1;3;0;0;2;3;2;2;4;1;0;1;0;3
Frappe white to go;1;2;0;1;1;0;0;0;1;1;0;3;1;0;1;0;0;0;0;2;0;1;1;3;6;1;1;3;3;0;0
Fruchtsaft frisch groﬂ  here;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;2;0;0;2;0;1;0;0;0;1;0;0;0;0;0;4
Fruchtsaft frisch groﬂ  to go;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Fruchtsaft frisch klein  here;0;0;0;1;0;0;2;1;0;2;1;1;0;1;1;1;2;0;2;0;3;1;1;0;1;2;0;1;1;1;2
Fruchtsaft frisch klein  to go;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0
Heiﬂe S‰fte Heiﬂe Orange here;0;1;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
