 Zeit,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
Bagel Cream Cheese here,0,0,1,6,6,6,6,2,11,4,8,4,0,0,0,0,0
Bagel Cream Cheese to go,0,1,19,0,1,1,4,3,1,1,2,1,0,1,0,0,0
Bagel Fitness here,0,1,0,6,6,23,24,26,12,11,18,6,4,1,0,0,0
Bagel Fitness to go,0,1,4,3,4,1,10,3,2,6,4,2,0,0,0,0,0
Bagel Green Garden here,0,0,0,3,2,0,8,7,6,2,6,2,0,1,0,0,0
Bagel Green Garden to go,0,0,1,1,0,1,5,1,0,2,1,1,0,0,0,0,0
Bagel India here,0,0,0,0,2,0,8,5,3,4,6,2,2,0,0,0,0
Bagel Mexico here,0,0,0,2,4,5,14,11,4,4,4,6,1,0,0,0,0
Bagel Mexico to go,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0
Bagel Morning Star here,0,2,19,1,3,7,6,1,0,0,0,0,0,0,0,0,0
Bagel Morning Star to go,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bagel Peanut Butter here,0,0,0,1,2,1,1,1,2,0,1,0,0,0,0,0,0
Bagel plain here,0,1,2,3,7,6,4,4,4,2,4,1,7,0,0,0,0
Bagel plain to go,0,4,12,6,4,7,2,2,2,6,7,6,1,0,0,0,0
Bagel Roma oder Florenz here,0,0,5,23,26,25,45,45,36,27,23,11,10,4,0,0,0
Bagel Roma oder Florenz to go,0,2,2,6,12,7,25,19,12,11,3,3,2,0,0,0,0
Bagel Stulle Deluxe here,0,1,0,4,7,12,24,16,13,8,9,9,3,0,0,0,0
Bagel Stulle Deluxe to go,0,4,3,1,6,1,8,4,3,4,2,3,4,0,0,0,0
Bagel Vital here,0,0,0,0,3,1,1,0,1,2,1,0,0,0,0,0,0
Bagel Vital to go,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brezel Butter here,0,1,2,5,1,1,4,2,5,1,0,1,0,0,0,0,0
Brezel plain here,0,1,5,2,15,10,11,6,6,7,6,1,1,0,0,0,0
Brezel plain to go,0,2,1,1,2,3,4,2,3,2,1,1,0,0,0,0,0
Cafe Creme groﬂ  here,0,3,2,5,5,6,11,8,18,22,19,15,9,3,0,0,0
Cafe Creme groﬂ  to go,0,10,13,2,4,5,5,8,9,9,24,12,5,1,0,0,0
Cafe Creme klein  here,0,19,13,12,16,18,54,42,36,41,52,49,27,11,0,0,0
Cafe Creme klein  to go,0,6,8,12,4,3,19,27,17,21,19,14,6,6,0,0,0
Caffe Latte mit Sirup here,0,0,1,3,3,4,4,10,13,15,13,7,8,0,0,0,0
Caffe Latte mit Sirup to go,0,1,4,0,1,3,4,7,6,11,13,15,3,4,0,0,0
Caffe Latte ohne Sirup bring in,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Caffe Latte ohne Sirup here,0,3,31,29,27,42,69,63,78,62,76,44,23,6,0,0,0
Caffe Latte ohne Sirup to go,0,15,16,7,20,34,39,44,59,53,55,38,15,4,0,0,0
Cappuccino groﬂ  here,0,5,16,11,25,29,30,54,43,39,38,42,20,2,0,0,0
Cappuccino groﬂ  to go,0,9,27,16,15,13,23,35,21,41,31,19,13,3,0,0,0
Cappuccino klein  here,0,2,1,14,26,33,100,112,51,52,66,45,24,9,0,0,0
Cappuccino klein  to go,0,1,11,5,11,7,19,37,31,35,24,32,6,4,0,0,0
Chai Tea groﬂ Chai Banana here,0,0,0,0,1,2,5,1,3,4,6,7,1,1,0,0,0
Chai Tea groﬂ Chai Banana to go,0,0,0,0,0,0,6,5,2,0,1,1,0,0,0,0,0
Chai Tea groﬂ Chai Chocolate here,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Chai Tea groﬂ Chai Tea Latte bring in,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chai Tea groﬂ Chai Tea Latte here,0,7,7,10,12,14,20,33,21,23,32,26,21,8,0,0,0
