 Datum,01.05.11,02.05.11,03.05.11,04.05.11,05.05.11,06.05.11,07.05.11,08.05.11,09.05.11,10.05.11,11.05.11,12.05.11,13.05.11,14.05.11,15.05.11,16.05.11,17.05.11,18.05.11,19.05.11,20.05.11,21.05.11,22.05.11,23.05.11,24.05.11,25.05.11,26.05.11,27.05.11,28.05.11,29.05.11,30.05.11,31.05.11
Bagel Cream Cheese here,0,1,3,2,4,3,0,0,2,2,2,0,1,5,5,1,1,0,1,1,0,2,0,0,1,2,2,1,0,0,2
Bagel Cream Cheese to go,0,0,0,0,0,0,1,0,1,1,1,1,2,1,0,2,1,1,1,1,0,1,1,1,3,1,1,0,0,1,0
Bagel Fitness here,3,7,4,5,1,4,4,0,7,2,3,1,3,9,4,3,2,5,3,4,7,1,2,2,2,3,5,9,2,2,1
Bagel Fitness to go,0,0,0,0,1,3,2,2,1,0,4,1,2,3,1,2,3,3,3,0,0,1,0,0,3,3,0,0,0,1,0
Bagel Green Garden here,0,2,1,1,0,1,2,1,2,2,1,0,1,1,2,1,0,2,1,2,0,0,4,1,1,1,1,0,1,0,1
Bagel Green Garden to go,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bagel India here,0,1,1,1,0,0,4,0,0,1,1,2,1,1,1,0,1,2,1,0,2,0,1,0,0,0,3,1,0,1,2
Bagel India to go,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Mexico here,0,3,2,5,2,0,7,0,1,3,2,1,9,4,3,2,4,2,1,4,0,2,4,2,1,1,7,6,3,2,1
Bagel Mexico to go,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0
Bagel Morning Star here,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,2,0,2,1,1,0,1,1,1,0,2,1,0,1,0
Bagel Morning Star to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Bagel Peanut Butter here,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Peanut Butter to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bagel plain here,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0
Bagel plain to go,1,0,1,0,2,2,0,0,2,1,1,1,10,1,6,0,0,1,1,0,1,0,0,5,1,0,1,0,1,1,0
Bagel Roma oder Florenz here,2,6,8,9,13,9,14,4,7,6,6,8,9,19,4,5,7,9,10,7,12,6,7,11,5,9,7,11,4,7,4
Bagel Roma oder Florenz to go,0,5,1,6,1,5,1,2,4,1,4,2,2,2,2,6,4,4,5,4,2,2,3,2,5,5,1,1,2,8,1
Bagel Stulle Deluxe here,0,4,2,5,4,1,4,2,3,3,2,1,4,4,4,4,3,5,5,4,2,1,1,3,2,3,4,0,1,1,1
Bagel Stulle Deluxe to go,0,1,1,0,2,2,4,0,1,1,1,3,3,1,1,0,1,1,1,1,2,1,1,1,1,1,0,0,1,0,0
Bagel Vital here,0,0,2,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Bagel Vital to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Brezel Butter here,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,2,2,2,0,1,0,0,1,0,2,2,0,0,1
Brezel Butter to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brezel plain here,1,2,1,2,2,3,3,0,1,1,4,2,3,2,4,5,4,2,0,4,0,1,3,3,1,2,4,0,0,3,1
Brezel plain to go,1,0,0,0,2,0,0,3,0,1,2,0,1,1,0,0,0,1,1,0,0,2,7,0,3,1,0,0,0,0,0
Cafe Creme groﬂ  here,2,9,2,5,1,4,1,3,1,2,2,4,5,5,1,2,5,2,6,5,7,4,6,1,3,5,8,6,1,2,2
Cafe Creme groﬂ  to go,4,1,4,1,2,2,1,0,5,2,1,0,2,4,1,5,1,3,2,2,1,3,3,3,2,2,2,1,2,0,2
Cafe Creme klein  here,5,9,12,10,10,9,18,7,15,14,12,8,9,12,12,14,12,13,7,17,13,4,13,7,11,15,14,9,4,8,10
Cafe Creme klein  to go,6,3,4,3,6,4,2,1,7,1,6,3,9,6,1,5,3,3,0,8,12,3,4,4,6,3,7,1,8,4,3
Caffe Latte mit Sirup here,0,0,4,8,0,4,2,0,2,1,0,2,2,4,2,2,4,3,4,1,2,1,1,2,0,3,1,0,0,2,1
Caffe Latte mit Sirup to go,0,1,3,1,1,0,1,1,0,1,1,1,2,1,3,0,1,1,0,0,0,2,0,2,4,2,4,2,1,3,2
Caffe Latte ohne Sirup bring in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Caffe Latte ohne Sirup here,5,13,12,18,14,5,15,6,6,3,11,12,11,20,14,15,18,12,9,7,17,9,8,8,10,12,21,19,3,13,8
Caffe Latte ohne Sirup to go,9,6,10,10,13,12,13,6,5,5,7,6,16,10,8,6,12,9,11,8,4,5,12,8,8,7,9,16,6,10,7
Cappuccino groﬂ  here,5,4,16,9,6,13,5,4,5,7,7,11,4,24,7,6,7,5,5,8,4,7,5,5,7,13,13,8,4,2,10
Cappuccino groﬂ  to go,7,5,5,4,6,5,6,3,7,6,4,2,7,2,4,2,10,4,0,3,3,3,6,6,5,6,6,13,4,5,4
Cappuccino klein  here,10,11,17,17,11,18,17,8,15,15,10,10,12,15,9,20,19,15,6,15,15,4,11,14,12,19,9,10,8,8,22
Cappuccino klein  to go,4,5,4,3,4,10,3,0,5,11,1,6,7,2,2,5,7,6,4,2,4,0,3,4,4,0,2,2,1,3,3
Chai Tea groﬂ Chai Banana here,1,1,0,1,1,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chai Tea groﬂ Chai Banana to go,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Chai Tea groﬂ Chai Tea Latte here,1,1,3,4,3,0,2,0,0,5,1,5,2,4,7,3,4,4,1,2,6,0,0,3,1,2,3,4,4,2,4
Chai Tea groﬂ Chai Tea Latte to go,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,0,3,1,2,2,0,0,2,0,1,2,0,3,2
Chai Tea klein Chai Banana here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chai Tea klein Chai Tea Latte here,1,3,3,6,4,2,2,0,4,0,1,7,2,8,2,4,1,3,3,0,1,1,2,2,0,6,8,0,1,2,1
Chai Tea klein Chai Tea Latte to go,0,1,1,1,0,1,0,0,1,2,3,1,0,2,1,0,0,0,3,1,2,0,1,0,1,0,1,1,2,2,0
Chocolate groﬂ Bio-Kakao here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Chocolate groﬂ Bio-Kakao to go,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chocolate groﬂ black here,0,4,3,0,0,2,1,0,0,1,2,1,0,7,1,1,2,0,0,0,0,0,0,0,1,0,2,1,0,0,3
Chocolate groﬂ black to go,1,0,1,1,0,0,0,0,1,3,0,1,1,0,1,3,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
Chocolate groﬂ white here,1,2,0,1,3,3,1,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0,1,0,0,1,3,0,0,0,1
Chocolate groﬂ white to go,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate klein Bio-Kakao here,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chocolate klein black here,0,3,5,7,1,3,0,0,1,3,2,2,1,8,4,2,2,2,2,3,0,0,0,2,1,2,7,4,1,1,4
Chocolate klein black to go,1,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
Chocolate klein mit Sirup here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate klein white here,0,0,1,2,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1
Chocolate klein white to go,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cookie here,1,7,4,5,5,5,13,4,2,5,4,7,2,9,6,5,3,3,6,7,8,4,5,5,5,5,9,6,3,3,5
Cookie to go,3,5,10,2,5,3,7,4,6,6,3,3,1,0,0,3,6,4,6,3,10,3,6,5,2,3,9,4,1,3,5
Cool Latte Iced Caffe here,2,2,0,2,3,3,13,1,3,2,5,1,2,4,0,1,1,5,3,5,7,5,2,6,3,1,1,7,4,7,1
Cool Latte Iced Caffe to go,2,2,2,5,2,4,13,6,2,1,2,0,6,3,0,0,0,7,6,9,6,7,10,2,2,1,0,8,9,7,3
Cool Latte Iced Espresso here,0,1,0,0,1,2,0,0,0,3,5,1,1,1,0,0,1,0,0,1,5,1,0,0,1,0,1,0,0,0,0
Cool Latte Iced Espresso to go,5,1,0,0,2,2,1,0,1,1,2,0,1,1,0,0,0,2,1,1,4,1,1,0,0,0,0,0,0,0,0
Cool Latte Iced Macchiato here,3,7,3,2,6,5,14,2,3,3,14,4,6,1,0,2,3,4,12,7,17,5,4,9,8,6,0,4,1,16,2
Cool Latte Iced Macchiato to go,5,1,2,1,4,13,14,5,2,1,2,5,3,5,0,1,2,13,4,10,13,12,6,8,5,2,1,7,10,6,0
Donut here,5,4,2,6,5,3,7,2,3,1,3,4,2,13,9,6,2,3,3,7,6,3,2,2,4,7,7,6,3,2,8
Donut to go,3,3,6,4,4,3,2,2,6,8,5,2,1,9,4,6,4,3,7,0,2,2,4,2,6,2,2,1,3,7,3
Eis here,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Eis to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Eiskaffee here,3,4,1,2,5,6,21,11,5,10,8,3,11,8,0,2,4,11,6,15,29,13,7,14,17,1,1,17,12,26,4
Eiskaffee to go,0,2,0,0,3,2,14,7,5,0,2,2,3,0,0,1,0,5,7,5,9,11,3,4,2,2,0,2,1,4,2
Eisschokolade here,1,1,6,0,3,3,8,2,5,2,4,10,9,3,0,0,4,3,4,3,12,5,7,1,9,9,3,8,6,11,3
Eisschokolade to go,2,1,0,0,2,6,6,2,8,3,1,3,2,2,0,2,2,3,5,2,1,0,4,3,6,3,2,2,3,5,2
Eistee here,1,0,0,2,0,1,4,0,0,1,6,3,5,3,2,1,0,1,1,2,3,1,3,2,3,2,0,3,4,4,4
Eistee to go,0,1,0,1,1,0,8,1,1,2,1,1,1,0,0,0,1,1,2,1,5,0,1,1,1,2,0,0,0,0,0
Espresso groﬂ Barista here,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Espresso groﬂ Barista to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Espresso groﬂ Cuba here,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Espresso groﬂ Cuba to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Espresso groﬂ Macchiato here,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,1,1,0,1,2,2,0,0,0,0,0,1,1,0,1
Espresso groﬂ Macchiato to go,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Espresso groﬂ Originale here,0,1,2,0,4,2,1,3,1,1,0,1,0,5,1,1,1,2,2,2,4,1,1,1,0,3,0,2,2,4,0
Espresso groﬂ Originale to go,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,1,0,5,0,0,0,0,0,4,0
Espresso groﬂ Unplugged here,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
Espresso groﬂ Unplugged to go,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espresso klein Barista here,0,1,1,1,0,1,1,0,1,0,3,1,2,1,1,0,1,0,1,1,1,0,0,0,1,3,1,0,0,1,3
Espresso klein Cuba here,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,2
Espresso klein Cuba to go,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Espresso klein Lungo here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
Espresso klein Lungo to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Espresso klein Macchiato here,1,1,1,1,3,1,0,1,3,4,0,4,0,1,4,1,2,3,2,0,1,0,2,0,1,0,1,3,0,0,1
Espresso klein Macchiato to go,0,0,1,2,2,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espresso klein Orange here,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Espresso klein Originale here,3,6,4,6,5,3,8,1,3,6,6,5,4,3,2,6,2,6,2,3,5,0,2,3,5,4,3,3,2,3,3
Espresso klein Originale to go,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Espresso klein Unplugged here,0,1,0,0,0,0,2,0,2,0,0,0,1,2,1,3,3,0,0,1,3,0,0,1,0,1,0,3,1,0,0
Espresso Latte here,3,6,6,7,5,1,4,1,3,3,4,4,1,6,5,3,5,4,1,3,3,2,3,5,4,5,5,7,3,2,9
Espresso Latte to go,1,0,1,0,2,3,0,1,1,0,1,0,1,2,3,1,0,0,0,0,0,1,1,2,3,1,1,2,0,2,1
Frappe black here,1,1,0,1,1,1,4,7,3,1,6,3,1,2,1,1,3,4,7,4,6,2,2,1,3,1,1,3,0,5,3
Frappe black to go,2,0,0,0,0,5,5,5,1,0,4,4,7,1,0,0,4,5,3,1,6,2,9,4,3,2,1,3,2,2,0
